dateday,season,year,month,count
2012-12-06,winter,2012,Dec,5375
2012-12-07,winter,2012,Dec,5008
2012-12-08,winter,2012,Dec,5582
2012-12-09,winter,2012,Dec,3228
2012-12-10,winter,2012,Dec,5170
2012-12-11,winter,2012,Dec,5501
2012-12-12,winter,2012,Dec,5319
2012-12-13,winter,2012,Dec,5532
2012-12-14,winter,2012,Dec,5611
2012-12-15,winter,2012,Dec,5047
2012-12-16,winter,2012,Dec,3786
2012-12-17,winter,2012,Dec,4585
2012-12-18,winter,2012,Dec,5557
2012-12-19,winter,2012,Dec,5267
2012-12-20,winter,2012,Dec,4128
2012-12-21,spring,2012,Dec,3623
2012-12-22,spring,2012,Dec,1749
2012-12-23,spring,2012,Dec,1787
2012-12-24,spring,2012,Dec,920
2012-12-25,spring,2012,Dec,1013
2012-12-26,spring,2012,Dec,441
2012-12-27,spring,2012,Dec,2114
2012-12-28,spring,2012,Dec,3095
2012-12-29,spring,2012,Dec,1341
2012-12-30,spring,2012,Dec,1796
2012-12-31,spring,2012,Dec,2729
